station,net,lat,lon,ele,arrivalTime,epiDistance,azimuth,epiDistanceKm,waveformAvailable
BBJI,GE,-7.4626,107.65,615,2018-01-23T06:35:19.777+00:00,1.74,98.94,190.6,T
BKNI,GE,0.3262,101.0396,65,2018-01-23T06:37:00.271+00:00,8.86,326.12,,T
COCO,II,-12.19,96.83,1,2018-01-23T06:37:21.772+00:00,10.33,239.93,,T
JAGI,GE,-8.4702,114.1521,171,2018-01-23T06:36:52.792+00:00,8.23,100.11,,T
KOM,MY,1.7922,103.8467,49,2018-01-23T06:37:07.282+00:00,9.07,346.46,,T
KSM,MY,1.47,110.31,66,2018-01-23T06:39:36.855+00:00,9.55,27.16,,T
PMBI,GE,-2.9024,104.6993,25,2018-01-23T06:35:59.430+00:00,4.35,343.11,,T
SBM,MY,2.4529,112.214,237,2018-01-23T06:36:01.377+00:00,11.35,33.56,,T
SMRI,GE,-7.0492,110.4407,203,2018-01-23T06:36:13.062+00:00,4.44,89.72,,T
UGM,GE,-7.91,110.52,350,2018-01-23T06:36:01.844+00:00,4.59,100.51,,T
XMI,AU,10.45,105.69,252,2018-01-23T06:35:43.615+00:00,3.26,-176.03,,T
XMIS,AU,-10.48,105.65,210,2018-01-23T06:35:42.680+00:00,3.38,185.2,,T
LEM,IA,-6.82,107.61,1200,2018-01-23T06:35:20.950+00:00,1.66,80.83,,F
